program,value,vote,year,text
0505040 Infrastructure Development and Expansion,4638436000,1064 State Department for Vocational and Technical Training,2021,1064 State Department for Vocational and Technical Training 0505040 Infrastructure Development and Expansion
0505000 Technical Vocational Education and Training,23104672268,1064 State Department for Vocational and Technical Training,2021,1064 State Department for Vocational and Technical Training 0505000 Technical Vocational Education and Training
0507010 Revitalization of Youth Polytechnics,48666389,1064 State Department for Vocational and Technical Training,2021,1064 State Department for Vocational and Technical Training 0507010 Revitalization of Youth Polytechnics
0507000 Youth Training and Development,48666389,1064 State Department for Vocational and Technical Training,2021,1064 State Department for Vocational and Technical Training 0507000 Youth Training and Development
0508010 Headquarters Administrative Services,142566414,1064 State Department for Vocational and Technical Training,2021,1064 State Department for Vocational and Technical Training 0508010 Headquarters Administrative Services
"0508000 General Administration, Planning and Support Services",142566414,1064 State Department for Vocational and Technical Training,2021,"1064 State Department for Vocational and Technical Training 0508000 General Administration, Planning and Support Services"
0504010 University Education,76814542311,1065 State Department for University Education,2021,1065 State Department for University Education 0504010 University Education
0504020 Quality Assurance and Standards,309019997,1065 State Department for University Education,2021,1065 State Department for University Education 0504020 Quality Assurance and Standards
0504030 Higher Education Support Services,17105287324,1065 State Department for University Education,2021,1065 State Department for University Education 0504030 Higher Education Support Services
0504000 University Education,94228849632,1065 State Department for University Education,2021,1065 State Department for University Education 0504000 University Education
0506010 Research Management and Development,653277389,1065 State Department for University Education,2021,1065 State Department for University Education 0506010 Research Management and Development
0506020 Knowledge and Innovation Development and Commercialization,52875963,1065 State Department for University Education,2021,1065 State Department for University Education 0506020 Knowledge and Innovation Development and Commercialization
0506030 Science and Technology Development and Promotion,234841804,1065 State Department for University Education,2021,1065 State Department for University Education 0506030 Science and Technology Development and Promotion
"0506000 Research, Science, Technology and Innovation",940995156,1065 State Department for University Education,2021,"1065 State Department for University Education 0506000 Research, Science, Technology and Innovation"
0508010 Headquarters Administrative Services,242970516,1065 State Department for University Education,2021,1065 State Department for University Education 0508010 Headquarters Administrative Services
"0508000 General Administration, Planning and Support Services",242970516,1065 State Department for University Education,2021,"1065 State Department for University Education 0508000 General Administration, Planning and Support Services"
0501010 Free Primary Education,15251564932,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0501010 Free Primary Education
0501020 Special Needs Education,991659631,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0501020 Special Needs Education
0501040 Early Child Development and Education,18118066,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0501040 Early Child Development and Education
0501050 Primary Teachers Training and In-servicing,591358639,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0501050 Primary Teachers Training and In-servicing
0501060 Alternative Basic Adult & Continuing Education,79758520,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0501060 Alternative Basic Adult & Continuing Education
"0501070 School Health, Nutrition and Meals",1999693389,1066  State Department for Early Learning & Basic Education,2021,"1066  State Department for Early Learning & Basic Education 0501070 School Health, Nutrition and Meals"
0501080 Expanding Education Opportunities in ASALs,,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0501080 Expanding Education Opportunities in ASALs
0501090 ICT Capacity Development,110200000,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0501090 ICT Capacity Development
0501000 Primary Education,19042353177,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0501000 Primary Education
0502020 Free Day Secondary Education,74481411464,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0502020 Free Day Secondary Education
0502030 Secondary Teachers Education Services,348700000,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0502030 Secondary Teachers Education Services
0502040 Secondary Teachers In-Service,189733300,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0502040 Secondary Teachers In-Service
0502050 Special Needs education,2e+08,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0502050 Special Needs education
0502000 Secondary Education,75219844764,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0502000 Secondary Education
0503010 Curriculum Development,1388387569,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0503010 Curriculum Development
0503020 Examination and Certification,2026100000,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0503020 Examination and Certification
0503030 Co-Curriculum Activities,936524926,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0503030 Co-Curriculum Activities
0503000 Quality Assurance and Standards,4351012495,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0503000 Quality Assurance and Standards
0508010 Headquarters Administrative Services,1984502555,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0508010 Headquarters Administrative Services
0508020 County Administrative Services,2692595249,1066  State Department for Early Learning & Basic Education,2021,1066  State Department for Early Learning & Basic Education 0508020 County Administrative Services
